Year:,Seller:,Bike make:,Zone:,Starter:,Kilometers:,Warranty:,Condition:,Negotiable:,Lot number:,Price:,Bike model:,Fuel system:,Displacement:,Engine type:,Power:,Gearbox:,Ignition system:,Reserve fuel capacity:,Mileage:,Fuel control:,Transmission type:,Fuel comsumption:
2016,Owner,KTM,Gandaki,,28000,None,New,,12,"रु 3,50,000",KTM RC 200,Fuel Injection,199 cc,,,,Spark Ignition,,35,Petrol,Chain Drive Wet multi-disc,
2018,Owner,Yamaha,Lumbini,Electric,15000,None,New,,47,,,Fuel Injection,149 cc,,,5 Speed Chain Drive clutch: Wet,Transistor Controlled Ignition,,45,Petrol,Manual Chain Drive,
2016,Owner,Bajaj,Gandaki,Electric & Kick,,None,New,Negotiable,11,"रु 1,37,000",Bajaj Pulsar 150cc,,,,,,,,40,,,
2018,Owner,CFMoto,Mechi,,8500,None,New,,10,,,,,,,,,,,,,
,Owner,Honda,Bagmati,Electric & Kick,35000,None,New,Negotiable,73,"रु 1,30,000",Honda CB Unicorn DSS,Carburettor,149.10 ccm (9.10 cubic inches),"Single cylinder, four-stroke",13,5-speed,Digital CDI,,,OHC,Chain,1.67 litres/100 km (59.9 km/l or 140.85 mpg)
2018,Owner,Yamaha,Koshi,Electric,25000,None,New,Not negotiable,39,"रु 2,15,000",FZ-S FI,Petrol,149cc,Air cooled,,5,Fi,No,45-50,,,
,Owner,Bajaj,Bagmati,Electric,40000,None,New,,62,,Bajaj Pulsar 220F Frame,,,,220,5,,,40,,,
2014,Owner,KTM,Bagmati,,57000,None,New,Negotiable,61,"रु 2,00,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2017,Owner,Yamaha,Bagmati,Electric & Kick,,None,New,,15,"रु 2,10,000",Yamaha New FZS,,150,,,,Electric,,,,,
2019,Owner,Other Bike Brand,Lumbini,,,None,New,,18,"रु 2,50,000",,,,,,,,,,,,
,Dealer,Hero,Lumbini,,12000,None,New,,24,,Splendor iSmart,,,,,,,,,,,
2019,Owner,Crossfire,Bagmati,,600,None,New,Negotiable,13,"रु 5,10,000",,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2014,Owner,Royal Enfield,Gandaki,,22000,None,New,,9,"रु 2,59,000",Royal Enfield Electra 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
,Owner,Yamaha,Gandaki,,3000,None,New,,18,,Yamaha SZR,Carburettor,153 cc,"Air cooled, 4 stroke, SOHC, 2-Valve",,,C.D.I,,,,,
,Owner,Bajaj,Gandaki,Electric,60000,None,New,Negotiable,6,"रु 80,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
,Owner,Bajaj,Gandaki,Electric,60000,None,New,Negotiable,6,"रु 80,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2019,Owner,Bajaj,Bagmati,,2200,None,New,Not negotiable,-1,"रु 28,00,00,.00",Bajaj Pulsar 220F Frame,,,,,,,,,,,
,Owner,Mahindra,Bagmati,Electric & Kick,,None,New,,50,"रु 52,000",,,,,,,,,,,,
2019,Owner,TVS,Bagmati,,7000,None,New,,3,"रु 18,00,000",TVS Flame SR 125,,124.8 cc,"4-Stroke,CC-Vti",8,4-Gear Constant Mesh,High energy IDI system,2 litre,,,,
,Owner,Bajaj,Bagmati,,44000,None,New,Negotiable,62,"रु 1,40,000",Bajaj Pulsar 220F Frame,Injection,219.00 ccm (13.36 cubic inches),"Single cylinder, four-stroke",19,,,3.40 litres (0.90 gallons),,,Chain,
2016,Owner,Yamaha,Bagmati,,35000,None,New,Negotiable,79,"रु 1,80,000",Yamaha FZ,,,,,,,,,,,
2014,Owner,Bajaj,Gandaki,,25038,None,New,Not negotiable,9,"रु 80,000",Bajaj Discover 100 4G,,,,,,,,,,,
2018,Owner,KTM,Bagmati,,5500,None,New,Negotiable,91,"रु 4,00,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2019,Owner,Bajaj,Bagmati,Electric & Kick,7500,None,New,,108,,Bajaj Pulsar 200 NS Naked Sport,,,,,6,,,30,,,
2019,Owner,Bajaj,Bagmati,Electric,7800,None,New,,108,,Bajaj Pulsar 200 NS Naked Sport,,,,,6,,,32,,,
2018,Owner,TVS,Bagmati,Electric,12600,Available,New,Not negotiable,96,"रु 2,10,000",TVS Apache RTR 200 4v,Carburetor Petrol,197.75 cc,SI 4 Stroke Oil Cooled Single Cylinder ,,Manual,IDI - Dual Mode Digital Ignition ,,35,,Chain Drive ,
2017,Owner,TVS,Bagmati,Electric & Kick,15000,Available,New,,89,"रु 1,10,000",TVS streak,,125 cc,"4 Stroke, Single Cylinder",5,4,,,42,,,
2017,Owner,Honda,Lumbini,Electric & Kick,14000,None,New,,39,"रु 1,59,000",CB Shine SP,,125cc,,,5,Kick and self,,59,Carburator ,,
,Owner,Royal Enfield,Bagmati,,,None,New,Negotiable,97,"रु 4,15,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
,Owner,TVS,Bagmati,Electric,27000,None,New,,84,"रु 1,85,000",TVS Apache RTR 200 4v,Carburetor Petrol,197.75cc,SI 4 Stroke Oil Cooled Single Cylinder ,19.9bph @8500 rpm,Manual,IDI - Dual Mode Digital Ignition ,2.5 liters,35,,Chain Drive ,Petrol
,Owner,Bajaj,Bagmati,,25000,None,New,,86,,Avenger Street 150cc,,,,,,,,,,,
,Owner,Honda,Bagmati,Electric & Kick,45000,None,New,,61,,Honda CB Trigger 150,,149.0 cc,"149.1 cc, Air Cooled, 4 Stroke, SI Engine",,,,,50,,,
,Owner,Honda,Bagmati,,,None,New,,31,"रु 55,000",CB Unicorn 160,,,,,,,,,,,
2017,Owner,Bajaj,Gandaki,,13000,None,New,,13,,,,,,,,,,,,,
,Owner,Hero,Bagmati,,14000,None,New,,98,,Hero Super Splendor DRS,,,,,,,,,,,
2017,Owner,Royal Enfield,Bagmati,Electric & Kick,10900,None,New,Negotiable,86,"रु 3,60,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,2L,30,,,
,Owner,Bajaj,Bagmati,,11500,None,New,,93,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
,Owner,Honda,Bagmati,,38908,None,New,,48,,Honda Aviator,Carburettor,109.00 ccm (6.65 cubic inches),"Single cylinder, four-stroke",8,Automatic,Fully transistorised with electronic advance,,,OHC,Chain,
2018,Owner,Bajaj,Bagmati,,22000,None,New,Negotiable,90,"रु 2,20,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,45,,,
2018,Owner,Bajaj,Narayani,,25000,None,New,Negotiable,49,"रु 2,00,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2016,Owner,Honda,Gandaki,Electric & Kick,21000,None,New,,2017,,Honda CB Hornet 160R,12,162.7 CC,"162.71cc, four stroke, air-cooled engine",160cc,Five-speed manual greabox,Carburetor,12,45,12,5 Speed,
,Owner,Bajaj,Bagmati,,19400,None,New,,87,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
,Owner,Yamaha,Bagmati,,53297,None,New,,36,,Yamaha R15 v1.5,Petrol,149 cc," Liquid-cooled, 4-stroke, SOHC",,"6 gear, Clutch : Wet",Carburettor,,30,12,Constant mesh 6-speed Chain,
2018,Owner,Yamaha,Koshi,Electric & Kick,16000,None,New,Negotiable,34,"रु 1,40,000",Fascino,,,,,,,,,,,
2016,Owner,Hartford,Bagmati,Electric,15000,None,New,Negotiable,88,"रु 2,80,000",Hartford VR 150 H,Carborator,No,4 stocks ,150cc,Transmission ,4 strokes ,12 ltr,35,Petroleum ,Gearing ,Petroleum 
2016,Owner,Bajaj,Bagmati,,17000,None,New,,78,"रु 1,70,000",Bajaj Avenger Street 220cc,Injection,219.00 ccm (13.36 cubic inches),"Single cylinder, four-stroke",19,,,3.40 litres (0.90 gallons),,,Chain,
2016,Owner,Royal Enfield,Narayani,Electric & Kick,30000,None,New,Negotiable,44,"रु 3,35,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,"25,30 minimum",,,
2018,Owner,Bajaj,Gandaki,Electric,6300,None,New,,16,,Avenger Cruise 220,Carburator,220 CC,4 Stroke air cooled with oil cooler,19,,,3.8 liters,,,5 speed constant mesh,
2017,Owner,Suzuki,Bagmati,,31000,None,New,Negotiable,74,"रु 1,30,000",Gixxer SF,,,,,,,,,,,
2016,Owner,Honda,Bagmati,Electric & Kick,30000,None,New,Negotiable,77,"रु 1,45,000",Honda CB Hornet 160R,,162.7 CC,"162.71cc, four stroke, air-cooled engine",,Five-speed manual gearbox,Carburetor,3ltrs,62,,5 Speed,
2016,Owner,Bajaj,Gandaki,,24000,None,New,Negotiable,12,"रु 1,69,500",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
,Owner,Yamaha,Bagmati,Electric & Kick,11000,Available,New,Not negotiable,105,"रु 2,60,000",Yamaha New FZS,,,,,,,,,,,
2016,Owner,KTM,Bagmati,,34000,None,New,Negotiable,73,"रु 2,50,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2016,Owner,KTM,Bagmati,,34000,None,New,Negotiable,73,"रु 2,50,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2016,Owner,TVS,Bheri,,33000,None,New,,7,,TVS Apache RTR 200 4v,Carburetor Petrol,197.75 cc,SI 4 Stroke Oil Cooled Single Cylinder ,,Manual,IDI - Dual Mode Digital Ignition ,,35,,Chain Drive ,
,Owner,Bajaj,Mechi,,9000,None,New,,11,,Bajaj Pulsar 150cc,,,,,,,,,,,
2018,Owner,Bajaj,Mechi,Electric,9000,None,New,,11,"रु 2,00,000",Bajaj Pulsar 150cc,,,,,,,,50,,,
2015,Owner,Mahindra,Mechi,Electric,16595,None,New,Negotiable,7,"रु 1,15,000",Mahindra Rodeo RZ,,124.6cc,4-Stroke,8,Automatic,,,,,,
2019,Owner,Bajaj,Bagmati,,6500,None,New,Negotiable,107,"रु 2,85,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2010,Owner,Hero,Gandaki,,,None,New,,2010,"रु 70,000",Hero Hunk,Carburettor,149.2 c.c,"Air cooled, 4 - stroke single cylinder",11,5-speed,AMI – Advanced Microprocessor Ignition System,2.2 litres (Usable Reserve),,,,
2017,Owner,Bajaj,Bagmati,,9000,None,New,,78,"रु 2,10,000",Avenger Cruise 220,,,,,5,,,40,,,
2015,Owner,TVS,Bagmati,Electric & Kick,55000,None,Old,Not negotiable,51,"रु 50,000",TVS Wego,Carburettor,109.70 ccm (6.69 cubic inches),"Single cylinder, four-stroke",8,Automatic,Digital DC CDI,,,OHC,Belt,
2019,Owner,Honda,Gandaki,,8700,None,New,Negotiable,17,"रु 1,65,000",Honda Dio,,,,,,,,,,,
,Owner,KTM,Gandaki,,15005,None,New,Negotiable,14,"रु 3,50,000",KTM RC 200,Fuel Injection,199 cc,,,,Spark Ignition,,35,Petrol,Chain Drive Wet multi-disc,
,Owner,Honda,Gandaki,Electric & Kick,14400,None,New,Negotiable,8,"रु 1,15,000",Honda Dio,Fuel injection ,,4 stroke ,7.76 ps @8000rpm,,,4.5l,,,,
,Owner,Honda,Bagmati,,50000,None,New,Not negotiable,41,"रु 70,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2011,,Honda,Bagmati,,50000,None,New,Not negotiable,41,"रु 70,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2010,Owner,Honda,Sagarmatha,Electric & Kick,50000,None,Old,,2010,"रु 65,000",CB Unicorn 160,,,,,,,,45km,,,
2017,Owner,Honda,Bagmati,,25000,None,New,Not negotiable,92,"रु 1,40,000",Honda Dio,,,,,No,Self,,40,,Carburator,
2011,Owner,TVS,Bagmati,Electric & Kick,19000,None,New,,36,,TVS Pep Plus,,87.8 cc,4-Stroke Single Cylinder forced Air-Cooled,5,Variomatic,Digital CDI,0 litre,,,,
2010,Owner,TVS,Bagmati,Electric,19000,None,New,,36,,TVS Pep Plus,,87.8 cc,4-Stroke Single Cylinder forced Air-Cooled,5,Variomatic,Digital CDI,0 litre,,,,
,Owner,KTM,Bagmati,,24800,None,New,Negotiable,72,"रु 2,70,000",KTM RC 200,Fuel Injection,199 cc,,,,Spark Ignition,,35,Petrol,Chain Drive Wet multi-disc,
2012,Owner,Bajaj,Gandaki,,39000,None,New,Not negotiable,7,"रु 95,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2018,Owner,TVS,Bagmati,,13000,Available,New,Negotiable,1,"रु 2,10,000",Sport,,160cc,,,5-Speed,IDI-Dual Mode Digital Ignition,,35/40,,,
2018,Dealer,Honda,Gandaki,,5000,None,New,Negotiable,16,"रु 1,65,000",Honda Dio,,,,,,,,,,,
2016,Owner,Bajaj,Gandaki,,19000,None,New,Negotiable,12,"रु 1,55,000",Bajaj Pulsar 180cc,,,,,,,,,,,
2018,Owner,Honda,Bagmati,,18000,None,New,Not negotiable,90,"रु 3,35,000",Other Honda models,,,,,,,,,,,
2017,Owner,Bajaj,Bagmati,Electric & Kick,31955,None,New,,91,"रु 1,15,000",Bajaj Discover 150cc,,150,,,5,Electric + Kick,,38-40,Carburetor,,
,Owner,Bajaj,Gandaki,,,None,New,,13,"रु 1,87,500",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2018,Owner,Bajaj,Gandaki,,13000,None,New,Negotiable,15,"रु 2,30,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
,Owner,CFMoto,Bagmati,Electric,11456,None,New,,99,,,fi,,Fi 250,27,,,13 Lt,,,,
,Owner,Yamaha,Bagmati,,8400,None,New,,80,,YZF R15S,,,,,,,,,,,
2018,Owner,Vespa,Bagmati,Electric & Kick,11000,None,New,,79,,VXL 150,,,,,,,,40km,8ltr,,
2017,Owner,Piaggio,Bagmati,Electric & Kick,11000,None,New,,79,,,,126 cc,"Single cylinder, four stroke",7,,CDI,,40,8ltr,Chain,
,Owner,Honda,Gandaki,,24000,None,New,,12,,Honda Dio,,,,,,,,,,,
2016,Owner,Royal Enfield,Bagmati,,15764,None,New,,76,,Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,33,,,
2017,Owner,Bajaj,Bagmati,,23000,None,New,Negotiable,90,"रु 2,25,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2016,Owner,Bajaj,Gandaki,,30000,None,New,Not negotiable,10,"रु 1,30,000",Bajaj Pulsar 220F Frame,,199.5 CC,"Liquid cooled, 4 stroke",,6,,,,,Manual,
2016,Owner,Bajaj,Gandaki,Electric,25000,None,New,Not negotiable,12,"रु 1,80,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2017,Owner,Cross X,Koshi,,12000,None,New,Negotiable,30,"रु 4,50,000",250SE Off Road,,,,,,,,,,,
2015,Owner,Bajaj,Gandaki,,45000,None,New,Negotiable,9,"रु 1,40,000",Bajaj Pulsar 180cc,,,,,,,,,,,
2016,Owner,Benelli,Bagmati,,16000,None,New,Negotiable,82,"रु 1,20,000",,,,,150,,,,30,,,
,Owner,Bajaj,Bagmati,,16000,None,New,,64,,Bajaj Pulsar 220F Frame,,,,,,,,,,,
2019,Owner,Bajaj,Mechi,Electric,6700,Available,New,Negotiable,12,"रु 2,30,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2018,Owner,Honda,Gandaki,,9000,None,New,Negotiable,16,"रु 1,65,000",Honda Dio,,,,,,,,,,,
2018,Owner,TVS,Bagmati,Electric,18000,Available,New,,94,"रु 2,10,000",,carburator ,200cc,,20bhp,5 speed,self,2.5 ltrs,35,carburetor,auto,petrol
2014,,Bajaj,Gandaki,,36000,None,New,,11,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
,Owner,Hero,Bagmati,,,None,New,,52,,Hero CBZ Xtreme - DSS,Carburettor,149.2cc,"Air Cooled, 4- Stroke, ATFT",14,5-speed,,,,,,
2018,Owner,Hero,Lumbini,Electric & Kick,12700,Available,New,Not negotiable,41,"रु 1,50,000",Maestro Edge,,,"110.9 cc, AIR COOLED,4STORKE,SINGLE CYLINDER",8BHP @ 7500RPM,,,5.5Lt,50-55,,,
,Owner,Bajaj,Bagmati,,38000,None,New,,65,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Owner,KTM,Bagmati,Electric,11260,None,New,,84,,KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Kathmandu,30,,,
,Owner,Bajaj,Bagmati,,28000,None,New,,65,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2016,Owner,Yamaha,Bagmati,,29000,None,New,,71,,Yamaha R15 v1.5,Petrol,149 cc," Liquid-cooled, 4-stroke, SOHC",,"6 gear, Clutch : Wet",Fuel Injection,,40,,Constant mesh 6-speed Chain,
2017,Owner,Bajaj,Gandaki,Electric,30000,None,New,Not negotiable,13,"रु 1,70,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Owner,Bajaj,Mechi,Electric & Kick,12500,None,New,Not negotiable,9,"रु 1,85,000",Bajaj Pulsar 150cc,,150cc,,,5,,,45 +,Patrol,,
2017,Owner,Bajaj,Mechi,,9900,Available,New,Negotiable,2017,"रु 1,95,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2018,Owner,Honda,Gandaki,,28000,None,New,,15,"रु 1,50,000",Honda New Dio,,109cc,4Stroke air cooled SI engine,,,,,,,,
2019,Owner,Royal Enfield,Bagmati,Electric & Kick,2700,None,New,Negotiable,5,"रु 5,10,000",Royal Enfield Thunderbird 350cc,"UCAL, BS29",346 cc,"Single Cylinder, 4 stroke, Twinspark, Air cooled",20,5 Speed Constant Mesh,Transistorized Coil Ignition (TCI),5 litre,,,,
2017,Owner,TVS,Bagmati,Electric,20000,Available,New,Negotiable,86,"रु 1,90,000",TVS Apache RTR 200 4v,Carburetor Petrol,197.75 cc,SI 4 Stroke Oil Cooled Single Cylinder ,,Manual,IDI - Dual Mode Digital Ignition ,,35,,Chain Drive ,
2017,Owner,Bajaj,Bagmati,Electric,8628,None,New,Negotiable,87,"रु 3,80,000",Dominar 400,,,,,,,,,,,
2019,Owner,CFMoto,Bagmati,,350,None,New,,7,,,,,,,,,,,,,
,Dealer,Bajaj,Bagmati,,14000,Available,New,,104,,Bajaj Pulsar 220F Frame,,,,,,,,,,,
,Owner,KTM,Lumbini,,16000,None,New,,37,,Duke 250,,,,,,,,,,,
2015,Owner,Honda,Bagmati,,28000,None,New,Negotiable,60,"रु 60,000",Honda Aviator,Carburettor,109.00 ccm (6.65 cubic inches),"Single cylinder, four-stroke",8,Automatic,Fully transistorised with electronic advance,,,OHC,Chain,
2016,Owner,Benelli,Bagmati,Electric,18500,None,New,,72,"रु 3,98,000",DSK Benelli TNT 300,,300 cc,4 Stroke 8 Valves DOHC Liquid Cooled,300,6,Electric,2.5,25,Petrol,Manual Chain Drive,
,Owner,Honda,Bagmati,,50000,None,Old,,17,,Honda Dio,,,,,,,,,,,
2019,Dealer,TVS,Janakpur,Electric & Kick,2500,Available,New,Negotiable,14,"रु 1,80,000",,,,,,,,,,,,
2018,Owner,TVS,Bagmati,,12100,None,New,Negotiable,100,"रु 2,25,000",,,161 cc,4-Stroke SingleCylinder AirCooled,15,5-Speed,IDI-Dual Mode Digital Ignition,2.5 litre,,,,
2018,Owner,TVS,Bagmati,,12100,None,New,,100,"रु 2,25,000",TVS Apache RTR 160CC,,161 cc,4-Stroke SingleCylinder AirCooled,15,5-Speed,IDI-Dual Mode Digital Ignition,2.5 litre,,,,
2012,Owner,Hartford,Gandaki,,,None,New,,7,,Hartford VR 150 H,,,,,,,,,,,
2018,Owner,Honda,Bagmati,,16696,None,New,Negotiable,86,"रु 2,35,000",CB Unicorn 160,,,,,,,,,,,
,Owner,Honda,Lumbini,,25000,None,New,,13,,Honda Dio,,,,,,,,,,,
2016,Owner,Ducati,Bagmati,,5000,Available,New,Negotiable,74,"रु 20,00,000",Scrambler,,,,,,,,,,,
2014,Owner,Honda,Bagmati,,20000,None,New,Negotiable,62,"रु 75,000",Honda Dio,,,,,,,,,,,
2012,Owner,Bajaj,Gandaki,,22000,None,New,Negotiable,7,"रु 87,000",Bajaj Pulsar 180cc,,,,,,,,,,,
2010,Owner,Bajaj,Bagmati,,51000,None,New,Negotiable,43,"रु 80,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2013,Owner,Royal Enfield,Bagmati,Electric & Kick,29000,None,New,Not negotiable,59,"रु 2,75,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,30,,,
